input,output
"{'key': 'UGELZTGBPPXJPE-UHFFFAOYSA-N', 'input': 'CC1CCCN1CCc1cc2cc(-c3cncc(C#N)c3)ccc2o1', 'text': 'CC1CCCN1CCc1cc2cc(-c3cncc(C#N)c3)ccc2o1'}",{'outcome': 0.9265676736831661}
"{'key': 'DLNFWRTZALVTSJ-UHFFFAOYSA-N', 'input': 'COc1ncc(-c2ccc(C3CC(N4CCCC4C)C3)cc2)cn1', 'text': 'COc1ncc(-c2ccc(C3CC(N4CCCC4C)C3)cc2)cn1'}",{'outcome': 0.9752475023269651}
"{'key': 'GCDHZFDHJDQKFR-UHFFFAOYSA-N', 'input': 'COc1ncc(-c2ccc3cc(CCN4CCCC4C)ccc3c2)cn1', 'text': 'COc1ncc(-c2ccc3cc(CCN4CCCC4C)ccc3c2)cn1'}",{'outcome': 0.9628713130950921}
"{'key': 'XRYDMMOPQTWUSE-UHFFFAOYSA-N', 'input': 'CC1CCCN1C1CC(c2ccc(-c3cncnc3)cc2)C1', 'text': 'CC1CCCN1C1CC(c2ccc(-c3cncnc3)cc2)C1'}",{'outcome': 0.9801980257034301}
"{'key': 'GFORFEKVQXJTEI-UHFFFAOYSA-N', 'input': 'O=C1NCN(c2ccccc2)C12CC[N+](CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2', 'text': 'O=C1NCN(c2ccccc2)C12CC[N+](CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2'}",{'outcome': 0.9405940771102901}
"{'key': 'HHCYCBKPWYJVEB-UHFFFAOYSA-N', 'input': 'O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2cc(F)ccc2o1', 'text': 'O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2cc(F)ccc2o1'}",{'outcome': 0.974422454833984}
"{'key': 'ZPUCINDJVBIVPJ-UHFFFAOYSA-N', 'input': 'COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C', 'text': 'COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C'}",{'outcome': 0.935643553733825}
"{'key': 'YBHLETUAEBDXIP-UHFFFAOYSA-N', 'input': 'CC1CCCN1CCc1ccc2cc(-n3ncccc3=O)ccc2c1', 'text': 'CC1CCCN1CCc1ccc2cc(-n3ncccc3=O)ccc2c1'}",{'outcome': 0.974422454833984}
"{'key': 'UDRWVFGKMDCPTL-UHFFFAOYSA-N', 'input': 'Fc1ccc(-n2cc(C3CCN(CCN4CCNC4=S)CC3)c3ccccc32)cc1', 'text': 'Fc1ccc(-n2cc(C3CCN(CCN4CCNC4=S)CC3)c3ccccc32)cc1'}",{'outcome': 0.9876237511634821}
"{'key': 'XNXZHSREQUABAF-UHFFFAOYSA-N', 'input': 'CN1CCN(CCCN(C(=O)Nc2ccc(F)c(Cl)c2)C2CCC3(c4cccc(N)c4)CC23)CC1', 'text': 'CN1CCN(CCCN(C(=O)Nc2ccc(F)c(Cl)c2)C2CCC3(c4cccc(N)c4)CC23)CC1'}",{'outcome': 0.9250353574752801}
"{'key': 'OGQHWELSDGZYOF-UHFFFAOYSA-N', 'input': 'C[N+]1CCCC1CCOC(C)(c1ccccc1)c1ccc(Cl)cc1', 'text': 'C[N+]1CCCC1CCOC(C)(c1ccccc1)c1ccc(Cl)cc1'}",{'outcome': 0.9405940771102901}
"{'key': 'LKUBJXGOOGUQGP-UHFFFAOYSA-N', 'input': 'CC(C(=O)NC1(c2ccccc2)CCC(N2CCC(c3ccc(F)cc3)CC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1', 'text': 'CC(C(=O)NC1(c2ccccc2)CCC(N2CCC(c3ccc(F)cc3)CC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1'}",{'outcome': 0.995049476623535}
"{'key': 'YEQFSCLZXBNXBX-UHFFFAOYSA-N', 'input': 'CC(C)C1(C(=O)NCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)CCC(N2CCC(c3ccc(F)cc3)CC2)C1', 'text': 'CC(C)C1(C(=O)NCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)CCC(N2CCC(c3ccc(F)cc3)CC2)C1'}",{'outcome': 0.98514848947525}
"{'key': 'OOGJQPCLVADCPB-UHFFFAOYSA-N', 'input': 'Cc1ccc(O)c(C(CCN(C(C)C)C(C)C)c2ccccc2)c1', 'text': 'Cc1ccc(O)c(C(CCN(C(C)C)C(C)C)c2ccccc2)c1'}",{'outcome': 0.9554455280303951}
"{'key': 'WGOANEPMJOTKQS-UHFFFAOYSA-N', 'input': 'Cc1ccc(O)c(C(CC[N+](C(C)C)C(C)C)c2ccccc2)c1', 'text': 'Cc1ccc(O)c(C(CC[N+](C(C)C)C(C)C)c2ccccc2)c1'}",{'outcome': 0.9075907468795771}
"{'key': 'JVNWKLHXJYUXET-UHFFFAOYSA-N', 'input': 'COc1ccc(CC[N+](C)CCCN(C(=O)c2ccc([N+](=O)[O-])cc2)c2ccc(OC)c(OC)c2)cc1OC', 'text': 'COc1ccc(CC[N+](C)CCCN(C(=O)c2ccc([N+](=O)[O-])cc2)c2ccc(OC)c(OC)c2)cc1OC'}",{'outcome': 0.9431518316268921}
"{'key': 'MJIFNEGWZJIOKW-UHFFFAOYSA-N', 'input': 'O=C1NCCN1CCN1CCC(C2CN(c3ccc(F)cc3)c3ccccc32)CC1', 'text': 'O=C1NCCN1CCN1CCC(C2CN(c3ccc(F)cc3)c3ccccc32)CC1'}",{'outcome': 0.9900990128517151}
"{'key': 'LOGDXDWDCZTLOS-UHFFFAOYSA-N', 'input': 'Cc1cc(-c2ccc3c(c2)CCN(CCCSc2nnc(-c4ccc(Cl)cc4)n2C)CC3)no1', 'text': 'Cc1cc(-c2ccc3c(c2)CCN(CCCSc2nnc(-c4ccc(Cl)cc4)n2C)CC3)no1'}",{'outcome': 1.0}
"{'key': 'HQINFIWNVUIGOE-UHFFFAOYSA-N', 'input': 'O=C(c1ccc(O)cc1OCC(O)CN1CCC2(CC1)Cc1cc(Cl)ccc1O2)N1CC(O)CO1', 'text': 'O=C(c1ccc(O)cc1OCC(O)CN1CCC2(CC1)Cc1cc(Cl)ccc1O2)N1CC(O)CO1'}",{'outcome': 0.8432343006134031}
"{'key': 'CTKNMSVWMRRCPW-UHFFFAOYSA-N', 'input': 'Clc1ccc(C(c2ccc(Cl)cc2)n2cc[n+](CC(OCc3ccc(Cl)cc3Cl)c3ccc(Cl)cc3Cl)c2)cc1', 'text': 'Clc1ccc(C(c2ccc(Cl)cc2)n2cc[n+](CC(OCc3ccc(Cl)cc3Cl)c3ccc(Cl)cc3Cl)c2)cc1'}",{'outcome': 0.9653465151786801}
"{'key': 'MLWLNEPGPPVSDC-UHFFFAOYSA-N', 'input': 'Oc1ccc(CC[N+]2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1', 'text': 'Oc1ccc(CC[N+]2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1'}",{'outcome': 0.8927392959594721}
"{'key': 'MEXIBBKUPJTJRY-UHFFFAOYSA-N', 'input': 'CCOC(=O)C1=CC2(CC)CCC[N+]3CCc4c(n1c1ccccc41)C32', 'text': 'CCOC(=O)C1=CC2(CC)CCC[N+]3CCc4c(n1c1ccccc41)C32'}",{'outcome': 0.8762376308441161}
"{'key': 'VBQPFBIQLMTMNM-UHFFFAOYSA-N', 'input': 'Cc1cnc(-c2ccc3c(c2)CCN(CCCSc2nnc(-c4ccc5[nH]ccc5c4)n2C)CC3)o1', 'text': 'Cc1cnc(-c2ccc3c(c2)CCN(CCCSc2nnc(-c4ccc5[nH]ccc5c4)n2C)CC3)o1'}",{'outcome': 1.0}
"{'key': 'PKAXIMFUJIQFKS-UHFFFAOYSA-N', 'input': 'COc1ccccc1-c1nnc(SCCCN2CCc3ccc(-c4cc(C)on4)cc3CC2)n1C', 'text': 'COc1ccccc1-c1nnc(SCCCN2CCc3ccc(-c4cc(C)on4)cc3CC2)n1C'}",{'outcome': 1.0}
"{'key': 'KICCGGGRQKPBIH-UHFFFAOYSA-N', 'input': 'Cc1nc2ccccc2n1C1CC2COCC(C1)N2C', 'text': 'Cc1nc2ccccc2n1C1CC2COCC(C1)N2C'}",{'outcome': 0.838283836841583}
"{'key': 'FVGPHGAWVQFSPG-UHFFFAOYSA-N', 'input': 'COc1cc(N)c(Cl)cc1C(=O)NC1CCC(CCCOc2ccc(F)cc2)CC1OC', 'text': 'COc1cc(N)c(Cl)cc1C(=O)NC1CCC(CCCOc2ccc(F)cc2)CC1OC'}",{'outcome': 0.9594059586524961}
"{'key': 'ILPQLCKGOBBIPI-UHFFFAOYSA-N', 'input': 'CC(C)C1(C(=O)NCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)CCC(N2CCC(c3cccc(F)c3)CC2)C1', 'text': 'CC(C)C1(C(=O)NCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)CCC(N2CCC(c3cccc(F)c3)CC2)C1'}",{'outcome': 0.9900990128517151}
"{'key': 'JEUSLIAZMCQUCV-UHFFFAOYSA-N', 'input': 'CC(C)(O)C1(C(=O)NCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)CCC(N2CCC(c3ccc(F)cc3)CC2)C1', 'text': 'CC(C)(O)C1(C(=O)NCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)CCC(N2CCC(c3ccc(F)cc3)CC2)C1'}",{'outcome': 0.8910890817642211}
"{'key': 'OVGUUSWJYHCFLN-UHFFFAOYSA-N', 'input': 'Cc1cc(-c2ccc3c(c2)CCN(CCCSc2nnc(-c4ccccc4Cl)n2C)CC3)no1', 'text': 'Cc1cc(-c2ccc3c(c2)CCN(CCCSc2nnc(-c4ccccc4Cl)n2C)CC3)no1'}",{'outcome': 1.0}
"{'key': 'LCQVKIHGMHPFIJ-UHFFFAOYSA-N', 'input': 'CC(C)C1(C(=O)NCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)CCC(N2CCC(c3cccc(O)c3)CC2)C1', 'text': 'CC(C)C1(C(=O)NCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)CCC(N2CCC(c3cccc(O)c3)CC2)C1'}",{'outcome': 0.970297038555145}
"{'key': 'JEKPFWUXURUETD-UHFFFAOYSA-N', 'input': 'CCOC(=O)CC1CN(S(=O)(=O)c2cc3cc(Cl)ccc3[nH]2)CC(=O)N1Cc1ccc(C(=N)N(C)C)cc1', 'text': 'CCOC(=O)CC1CN(S(=O)(=O)c2cc3cc(Cl)ccc3[nH]2)CC(=O)N1Cc1ccc(C(=N)N(C)C)cc1'}",{'outcome': 0.8762376308441161}
"{'key': 'FYHCHSNOXWVJJT-UHFFFAOYSA-N', 'input': 'CCCCNCCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12', 'text': 'CCCCNCCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12'}",{'outcome': 0.995049476623535}
"{'key': 'DEIXGWIQADAVTO-UHFFFAOYSA-N', 'input': 'Cc1cc(-c2ccc3c(c2)CCN(CCCSc2nnc(-c4cccc(Cl)c4)n2C)CC3)no1', 'text': 'Cc1cc(-c2ccc3c(c2)CCN(CCCSc2nnc(-c4cccc(Cl)c4)n2C)CC3)no1'}",{'outcome': 0.995049476623535}
"{'key': 'DFXJFEAHWLUMQK-UHFFFAOYSA-N', 'input': 'N#Cc1ccc2cc1Oc1ccc3c(c1)C(CC3)N1CCC(NCc3cncn3C2)C1=O', 'text': 'N#Cc1ccc2cc1Oc1ccc3c(c1)C(CC3)N1CCC(NCc3cncn3C2)C1=O'}",{'outcome': 0.9617986679077141}
"{'key': 'FFDOXSIZJSGXOQ-UHFFFAOYSA-N', 'input': 'CC(C)(C)OC(=O)N1CC2CC(CN(CC(O)COc3ccc(C#N)cc3)C2)C1', 'text': 'CC(C)(C)OC(=O)N1CC2CC(CN(CC(O)COc3ccc(C#N)cc3)C2)C1'}",{'outcome': 0.9257425665855401}
"{'key': 'GUGOEEXESWIERI-UHFFFAOYSA-N', 'input': 'CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1', 'text': 'CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1'}",{'outcome': 0.9306930899620051}
"{'key': 'ZPRQZUALRQVYOJ-UHFFFAOYSA-N', 'input': 'CCCCCCCCC(=O)NCc1ccc(CC(O)CO)c(OC)c1', 'text': 'CCCCCCCCC(=O)NCc1ccc(CC(O)CO)c(OC)c1'}",{'outcome': 0.9306930899620051}
"{'key': 'LMTKAUFXBCGCJZ-UHFFFAOYSA-N', 'input': 'CCOc1cc(CCN2CCC(Nc3nc4ccccc4o3)CC2)ccc1OC', 'text': 'CCOc1cc(CCN2CCC(Nc3nc4ccccc4o3)CC2)ccc1OC'}",{'outcome': 0.9900990128517151}
"{'key': 'DQUUMUHVZGIZNI-UHFFFAOYSA-N', 'input': 'CC1CCCN1C1CC(c2ccc(-c3ccc(C#N)cc3)cc2)C1', 'text': 'CC1CCCN1C1CC(c2ccc(-c3ccc(C#N)cc3)cc2)C1'}",{'outcome': 0.995049476623535}
"{'key': 'XWGNKABGVNJFEL-UHFFFAOYSA-N', 'input': 'Fc1ccc2c(C3CNCCC3F)c(-c3cccc4ccccc34)[nH]c2c1', 'text': 'Fc1ccc2c(C3CNCCC3F)c(-c3cccc4ccccc34)[nH]c2c1'}",{'outcome': 1.0}
"{'key': 'XWGNKABGVNJFEL-UHFFFAOYSA-N', 'input': 'Fc1ccc2c(C3CNCCC3F)c(-c3cccc4ccccc34)[nH]c2c1', 'text': 'Fc1ccc2c(C3CNCCC3F)c(-c3cccc4ccccc34)[nH]c2c1'}",{'outcome': 1.0}
"{'key': 'AULXVGJBLMFJCV-UHFFFAOYSA-N', 'input': 'CC1CCCN1CCc1ccc2cc(-c3ccc(C#N)cc3)ccc2c1', 'text': 'CC1CCCN1CCc1ccc2cc(-c3ccc(C#N)cc3)ccc2c1'}",{'outcome': 1.0}
"{'key': 'VAKGFJFMMQQEIE-UHFFFAOYSA-N', 'input': 'CC(C)C1(C(=O)NCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)CCC(N2CCC(c3ccncn3)CC2)C1', 'text': 'CC(C)C1(C(=O)NCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)CCC(N2CCC(c3ccncn3)CC2)C1'}",{'outcome': 0.9752475023269651}
"{'key': 'SGTNSNPWRIOYBX-UHFFFAOYSA-N', 'input': 'COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC', 'text': 'COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC'}",{'outcome': 1.0}
"{'key': 'VYLABSMQLHGDJB-UHFFFAOYSA-N', 'input': 'COc1ccc(CCN(CCCC(C)(C#N)c2ccc(OC)c(OC)c2)C(C)C)cc1OC', 'text': 'COc1ccc(CCN(CCCC(C)(C#N)c2ccc(OC)c(OC)c2)C(C)C)cc1OC'}",{'outcome': 0.9684818387031551}
"{'key': 'SBIMUGAYTIMITB-UHFFFAOYSA-N', 'input': 'N#Cc1ccc(Cn2cncc2CCNC2CCN(c3ccccc3)C2=O)cc1', 'text': 'N#Cc1ccc(Cn2cncc2CCNC2CCN(c3ccccc3)C2=O)cc1'}",{'outcome': 0.9108911156654351}
