Inchi_key,Smiles
RAEDEZWVLQSYAR-CLFYSBASSA-N,[O-]/[N+](=N\OCCl)N1CCOCC1
UTXDPIGHIUIJIS-UHFFFAOYSA-N,CC(CN)c1cnc[nH]1
ODJQKYXPKWQWNK-UHFFFAOYSA-N,O=C(O)CCSCCC(=O)O
BWUFFNRDKQQEQQ-GDVGLLTNSA-N,CC1SC(=O)[C@@H]2CCCN2C1=O
RSXWJXPKLRYMHW-UHFFFAOYSA-N,Cc1nc([N+](=O)[O-])cn1CCO
JWOSTXBESVWMJW-UHFFFAOYSA-N,NS(=O)(=O)OC1CCCCC1
RMIPQHUGPXYCNJ-UHFFFAOYSA-N,Sc1nc(-c2cnccn2)no1
HJJPJSXJAXAIPN-UHFFFAOYSA-N,COC(=O)C1=CCCN(C)C1
UIIIBRHUICCMAI-UHFFFAOYSA-N,C=CCS(=O)(=O)O
BVBHLUPLDQQCEO-UHFFFAOYSA-N,CC(Cn1ncccc1=O)C(=N)S
ZZKQYXZXRHAHKH-UHFFFAOYSA-N,O=C(O)CNC1=NCCCCC1
VHKABBARGFUYOF-UHFFFAOYSA-N,O=Cc1ccc2c(c1)NC(=O)CO2
PBMRQWSDPALSGJ-RXMQYKEDSA-N,C=C1C[C@@H]1CC(N)=O
ZHTYLJBFAGOFTI-UHFFFAOYSA-N,Cc1[nH]cc(CO)c(=O)c1O
POAJZJIIPONBQZ-UHFFFAOYSA-N,CSCc1cc(C(=O)O)[nH]n1
TWORTZAXDSRCIT-OCAPTIKFSA-N,OCC[C@]1(O)CC[C@@H](O)CC1
XIELUBTUPNHUBE-QPJJXVBHSA-N,C/[N+]([O-])=C\c1ccc([N+](=O)[O-])o1
YEKJABDQUZLZOA-UHFFFAOYSA-N,CNC(=O)C(N)c1ccccc1
CDUXWOGEFLHLAE-UHFFFAOYSA-N,CC(C)(C)C(=O)NC#N
BMDACKAPJVTQEU-UHFFFAOYSA-N,CC(C)CCc1n[nH]c(=O)o1
VETJNXLHVDPVOS-UHFFFAOYSA-N,O=C(O)c1cccc(OCCO)c1
WPOFILKHBZCUBY-UHFFFAOYSA-N,CCC(c1c[nH]cn1)C(N)C(=O)OC
DFMICROCHBNKJA-UHFFFAOYSA-N,CCCc1c(C(N)C(=O)O)cnn1O
HBROZNQEVUILML-UHFFFAOYSA-N,O=C(NO)c1ccccc1O
DJSJGNSOMVFVLJ-UHFFFAOYSA-N,Cc1ccc(NC(=N)NCCO)nc1
GGIDWPFJFKVALD-UHFFFAOYSA-N,CCOC(=O)ON1C(=O)CCC1=O
OJYQADLIYHRBEX-YRNVUSSQSA-N,CN(C)/C=N/NC(=O)c1ccncc1
PREXGTBZMLDXHV-UHFFFAOYSA-N,O=NN1CCCCO1
JFPOJFNCLXTSOD-UHFFFAOYSA-N,O=P(O)(O)Cc1ccncn1
NKWCGTOZTHZDHB-UHFFFAOYSA-N,O=C(O)c1c[nH]cn1
BABNDIHHFOPOOI-UHFFFAOYSA-N,Nc1cc(=O)[nH]c2c1CCC2
ZWWMMGWARKFOJP-ZJUUUORDSA-N,CC(C)C(=O)N1C[C@H]2CCCN[C@H]2C1
YBWLIIDAKFNRBL-UHFFFAOYSA-N,CC(=O)SCCN
WWUXRAWFAFPGPY-UHFFFAOYSA-N,CC(=O)c1cnc2nc(C)nn2c1C
NHYQQYMSESLQDX-UHFFFAOYSA-N,N#Cc1ncnc2[nH]cnc12
OYWFPLMLVSSSLE-UHFFFAOYSA-N,COc1ncnc2c1NC(=O)CS2
DMOYBIUAWCVPLF-UHFFFAOYSA-N,CC1(C)CC(=O)C(=[N+]=[N-])C(=O)C1
PBQZQTQFQFYBNJ-UHFFFAOYSA-N,CONC(=O)c1ccccc1
UPMLHDQEUSGTQG-PHIMTYICSA-N,CCN1C[C@H]2C[C@@H](C1)CN(C(C)=O)C2
DOYOPBSXEIZLRE-UHFFFAOYSA-N,O=C(O)c1cc[nH]c1
JSXCAZOHVKHONY-UHFFFAOYSA-N,Cc1cc(C)n2ncc(N)c2n1
WXDSVKZIHNLBES-UHFFFAOYSA-N,COC(=O)CCC(=O)N1CC1C
ULBUASDTRNVFPH-UHFFFAOYSA-N,CN(C)C(=O)c1cnn2c1OCCC2
KZEYOZKGIDUZLU-QLNVLWNGSA-N,CC(=O)/C=C/C(=C/[C@H](C)O)CO
DZLFRQHFFVRYEE-UHFFFAOYSA-N,NNC(=O)c1cc2ccccc2[nH]1
