Smiles,InchiKeys,experimental_value
CC1CCCN1CCc1cc2cc(-c3cncc(C#N)c3)ccc2o1,UGELZTGBPPXJPE-UHFFFAOYSA-N,1
COc1ncc(-c2ccc(C3CC(N4CCCC4C)C3)cc2)cn1,DLNFWRTZALVTSJ-UHFFFAOYSA-N,1
COc1ncc(-c2ccc3cc(CCN4CCCC4C)ccc3c2)cn1,GCDHZFDHJDQKFR-UHFFFAOYSA-N,1
CC1CCCN1C1CC(c2ccc(-c3cncnc3)cc2)C1,XRYDMMOPQTWUSE-UHFFFAOYSA-N,1
O=C1NCN(c2ccccc2)C12CC[N+](CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2,GFORFEKVQXJTEI-UHFFFAOYSA-N,1
O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2cc(F)ccc2o1,HHCYCBKPWYJVEB-UHFFFAOYSA-N,1
COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,ZPUCINDJVBIVPJ-UHFFFAOYSA-N,1
CC1CCCN1CCc1ccc2cc(-n3ncccc3=O)ccc2c1,YBHLETUAEBDXIP-UHFFFAOYSA-N,1
Fc1ccc(-n2cc(C3CCN(CCN4CCNC4=S)CC3)c3ccccc32)cc1,UDRWVFGKMDCPTL-UHFFFAOYSA-N,1
CN1CCN(CCCN(C(=O)Nc2ccc(F)c(Cl)c2)C2CCC3(c4cccc(N)c4)CC23)CC1,XNXZHSREQUABAF-UHFFFAOYSA-N,1
C[N+]1CCCC1CCOC(C)(c1ccccc1)c1ccc(Cl)cc1,OGQHWELSDGZYOF-UHFFFAOYSA-N,1
CC(C(=O)NC1(c2ccccc2)CCC(N2CCC(c3ccc(F)cc3)CC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,LKUBJXGOOGUQGP-UHFFFAOYSA-N,1
CC(C)C1(C(=O)NCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)CCC(N2CCC(c3ccc(F)cc3)CC2)C1,YEQFSCLZXBNXBX-UHFFFAOYSA-N,1
Cc1ccc(O)c(C(CCN(C(C)C)C(C)C)c2ccccc2)c1,OOGJQPCLVADCPB-UHFFFAOYSA-N,1
Cc1ccc(O)c(C(CC[N+](C(C)C)C(C)C)c2ccccc2)c1,WGOANEPMJOTKQS-UHFFFAOYSA-N,1
COc1ccc(CC[N+](C)CCCN(C(=O)c2ccc([N+](=O)[O-])cc2)c2ccc(OC)c(OC)c2)cc1OC,JVNWKLHXJYUXET-UHFFFAOYSA-N,1
O=C1NCCN1CCN1CCC(C2CN(c3ccc(F)cc3)c3ccccc32)CC1,MJIFNEGWZJIOKW-UHFFFAOYSA-N,1
Cc1cc(-c2ccc3c(c2)CCN(CCCSc2nnc(-c4ccc(Cl)cc4)n2C)CC3)no1,LOGDXDWDCZTLOS-UHFFFAOYSA-N,1
O=C(c1ccc(O)cc1OCC(O)CN1CCC2(CC1)Cc1cc(Cl)ccc1O2)N1CC(O)CO1,HQINFIWNVUIGOE-UHFFFAOYSA-N,1
Clc1ccc(C(c2ccc(Cl)cc2)n2cc[n+](CC(OCc3ccc(Cl)cc3Cl)c3ccc(Cl)cc3Cl)c2)cc1,CTKNMSVWMRRCPW-UHFFFAOYSA-N,1
Oc1ccc(CC[N+]2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,MLWLNEPGPPVSDC-UHFFFAOYSA-N,1
