key,input,activity10
RAEDEZWVLQSYAR-CLFYSBASSA-N,[O-]/[N+](=N\OCCl)N1CCOCC1,0.34282178217821785
UTXDPIGHIUIJIS-UHFFFAOYSA-N,CC(CN)c1cnc[nH]1,0.1831683168316832
ODJQKYXPKWQWNK-UHFFFAOYSA-N,O=C(O)CCSCCC(=O)O,0.034653465346534656
BWUFFNRDKQQEQQ-GDVGLLTNSA-N,CC1SC(=O)[C@@H]2CCCN2C1=O,0.22442244224422445
RSXWJXPKLRYMHW-UHFFFAOYSA-N,Cc1nc([N+](=O)[O-])cn1CCO,0.1364922206506365
JWOSTXBESVWMJW-UHFFFAOYSA-N,NS(=O)(=O)OC1CCCCC1,0.21287128712871287
RMIPQHUGPXYCNJ-UHFFFAOYSA-N,Sc1nc(-c2cnccn2)no1,0.26402640264026406
HJJPJSXJAXAIPN-UHFFFAOYSA-N,COC(=O)C1=CCCN(C)C1,0.03712871287128713
UIIIBRHUICCMAI-UHFFFAOYSA-N,C=CCS(=O)(=O)O,0.12326732673267327
BVBHLUPLDQQCEO-UHFFFAOYSA-N,CC(Cn1ncccc1=O)C(=N)S,0.10066006600660067
ZZKQYXZXRHAHKH-UHFFFAOYSA-N,O=C(O)CNC1=NCCCCC1,0.15016501650165015
VHKABBARGFUYOF-UHFFFAOYSA-N,O=Cc1ccc2c(c1)NC(=O)CO2,0.2273102310231023
PBMRQWSDPALSGJ-RXMQYKEDSA-N,C=C1C[C@@H]1CC(N)=O,0.07574257425742574
ZHTYLJBFAGOFTI-UHFFFAOYSA-N,Cc1[nH]cc(CO)c(=O)c1O,0.11476897689768976
POAJZJIIPONBQZ-UHFFFAOYSA-N,CSCc1cc(C(=O)O)[nH]n1,0.0594059405940594
TWORTZAXDSRCIT-OCAPTIKFSA-N,OCC[C@]1(O)CC[C@@H](O)CC1,0.1782178217821782
XIELUBTUPNHUBE-QPJJXVBHSA-N,C/[N+]([O-])=C\c1ccc([N+](=O)[O-])o1,0.15973597359735972
YEKJABDQUZLZOA-UHFFFAOYSA-N,CNC(=O)C(N)c1ccccc1,0.09694719471947195
CDUXWOGEFLHLAE-UHFFFAOYSA-N,CC(C)(C)C(=O)NC#N,0.0726897689768977
BMDACKAPJVTQEU-UHFFFAOYSA-N,CC(C)CCc1n[nH]c(=O)o1,0.31902404526166905
VETJNXLHVDPVOS-UHFFFAOYSA-N,O=C(O)c1cccc(OCCO)c1,0.12747524752475248
WPOFILKHBZCUBY-UHFFFAOYSA-N,CCC(c1c[nH]cn1)C(N)C(=O)OC,0.11179867986798679
DFMICROCHBNKJA-UHFFFAOYSA-N,CCCc1c(C(N)C(=O)O)cnn1O,0.17326732673267325
HBROZNQEVUILML-UHFFFAOYSA-N,O=C(NO)c1ccccc1O,0.0264026402640264
DJSJGNSOMVFVLJ-UHFFFAOYSA-N,Cc1ccc(NC(=N)NCCO)nc1,0.15965346534653466
GGIDWPFJFKVALD-UHFFFAOYSA-N,CCOC(=O)ON1C(=O)CCC1=O,0.12656765676567658
OJYQADLIYHRBEX-YRNVUSSQSA-N,CN(C)/C=N/NC(=O)c1ccncc1,0.22235973597359734
PREXGTBZMLDXHV-UHFFFAOYSA-N,O=NN1CCCCO1,0.3048679867986799
JFPOJFNCLXTSOD-UHFFFAOYSA-N,O=P(O)(O)Cc1ccncn1,0.12219471947194718
NKWCGTOZTHZDHB-UHFFFAOYSA-N,O=C(O)c1c[nH]cn1,0.06435643564356436
BABNDIHHFOPOOI-UHFFFAOYSA-N,Nc1cc(=O)[nH]c2c1CCC2,0.16336633663366337
ZWWMMGWARKFOJP-ZJUUUORDSA-N,CC(C)C(=O)N1C[C@H]2CCCN[C@H]2C1,0.12541254125412543
YBWLIIDAKFNRBL-UHFFFAOYSA-N,CC(=O)SCCN,0.05132013201320131
WWUXRAWFAFPGPY-UHFFFAOYSA-N,CC(=O)c1cnc2nc(C)nn2c1C,0.21782178217821782
NHYQQYMSESLQDX-UHFFFAOYSA-N,N#Cc1ncnc2[nH]cnc12,0.15759075907590758
OYWFPLMLVSSSLE-UHFFFAOYSA-N,COc1ncnc2c1NC(=O)CS2,0.26485148514851486
DMOYBIUAWCVPLF-UHFFFAOYSA-N,CC1(C)CC(=O)C(=[N+]=[N-])C(=O)C1,0.1943069306930693
PBQZQTQFQFYBNJ-UHFFFAOYSA-N,CONC(=O)c1ccccc1,0.0655940594059406
UPMLHDQEUSGTQG-PHIMTYICSA-N,CCN1C[C@H]2C[C@@H](C1)CN(C(C)=O)C2,0.2516501650165016
DOYOPBSXEIZLRE-UHFFFAOYSA-N,O=C(O)c1cc[nH]c1,0.024752475247524754
JSXCAZOHVKHONY-UHFFFAOYSA-N,Cc1cc(C)n2ncc(N)c2n1,0.10808580858085808
WXDSVKZIHNLBES-UHFFFAOYSA-N,COC(=O)CCC(=O)N1CC1C,0.037953795379537955
ULBUASDTRNVFPH-UHFFFAOYSA-N,CN(C)C(=O)c1cnn2c1OCCC2,0.30610561056105606
KZEYOZKGIDUZLU-QLNVLWNGSA-N,CC(=O)/C=C/C(=C/[C@H](C)O)CO,0.17920792079207923
DZLFRQHFFVRYEE-UHFFFAOYSA-N,NNC(=O)c1cc2ccccc2[nH]1,0.17202970297029702
UAXMDBXWWFRSAK-YMVPXFTJSA-N,C[C@H]1C[C@@H]2OC(=O)[C@@H]3C(=O)OC[C@H]1[C@@H]32,0.13283828382838284
QCKRAMDNVJZRBF-UHFFFAOYSA-N,O=C1CC(c2ccccc2)NCN1,0.2194719471947195
QVBXPYTXSYFPBC-RNFRBKRXSA-N,CNC(=O)OC[C@H]1C[C@H]1N(C)C,0.10504479019330502
ZIIBGHUPSHQDEW-UHFFFAOYSA-N,CCn1c(C)cc(O)cc1=O,0.11757425742574257
RQFRQMMYBMWQBM-UXBLZVDNSA-N,CO/N=C/C1CN2CCC1CC2,0.5957095709570956
BERUOTKXCOOJJM-DUXPYHPUSA-N,C/C(=C\C(=O)O)CO,0.05049504950495049
IKPHLXTZBLLGCG-UHFFFAOYSA-N,O=C1c2ccccc2C(=O)c2[nH]nnc21,0.26435643564356437
RBCVXENZZZVCFS-UHFFFAOYSA-N,CNC(=S)NNC(=O)C(C)(C)C,0.12310231023102311
MDGKXYUMSAQTPL-UHFFFAOYSA-N,CON1C(=O)CC2(CCCC2)C1=O,0.18481848184818483
GXHXWYPFYXTSRC-UHFFFAOYSA-N,Cc1nn(C)c2c1sc1nncn12,0.30586987270155586
RYMYQAMZUWJAEO-UHFFFAOYSA-N,NS(=O)(=O)c1cc2ccccc2[nH]1,0.22623762376237624
JBMBVWROWJGFMG-UHFFFAOYSA-N,Clc1ncc2[nH]cnc2n1,0.21287128712871287
OCWIPIMYSTWDJI-UHFFFAOYSA-N,O=C(NO)c1ncccc1Cl,0.07095709570957096
KMOUUZVZFBCRAM-UHFFFAOYSA-N,O=C1OC(=O)C2CC=CCC12,0.11839933993399339
PZOIEPPCQPZUAP-UHFFFAOYSA-N,CCCCC(O)CN,0.20618811881188118
BHTZCIGVYSJBQB-UHFFFAOYSA-N,CC(=O)c1cc[nH]n1,0.06641914191419143
WAFDOCQYHNCLIC-UHFFFAOYSA-N,COCc1nnc(NC(C)=O)s1,0.20115511551155116
WLECPZJERMBRKY-UHFFFAOYSA-N,CCCCP(=O)(O)CC(O)CN,0.24752475247524752
ZJVBKUCVYUDUHK-SNAWJCMRSA-N,COC(=O)/C=C/C1=CN(C)CN1C,0.1485148514851485
CWXYHOHYCJXYFQ-UHFFFAOYSA-N,O=C(O)CCNC(=O)c1ccccc1,0.039603960396039604
WPZGDMHEBVYNLZ-VMPITWQZSA-N,CS(=O)(=O)/C(C#N)=C/c1ccc[nH]1,0.2107260726072607
DVOSRLSVEOCANS-UHFFFAOYSA-N,O=[N+]([O-])OCCCCCO,0.3056341348420557
ZJGXLWXYCZGAJX-UHFFFAOYSA-N,NC1=NC2(CCCO2)CCS1,0.38506600660066015
JYLRGSILCSWRSY-UHFFFAOYSA-N,Cc1n[nH]c(NCCO)c1[N+](=O)[O-],0.19389438943894388
HQTYIRUSJRQGBS-UHFFFAOYSA-N,O=C1COC2(CCNCC2)C1,0.24785478547854786
ZAKLKBFCSHJIRI-UHFFFAOYSA-N,O=C1OC(O)C(Cl)=C1Cl,0.11105610561056103
GOIFAGYTACLHFG-UHFFFAOYSA-O,C[n+]1ccc(/C=N/O)c(F)c1,0.1363036303630363
YHUAHVPZGNXPMS-UHFFFAOYSA-N,CCc1c(O)c(=O)ccn1C,0.11831683168316831
FGVVTMRZYROCTH-UHFFFAOYSA-N,[O-][n+]1ccccc1S,0.22880716643092883
GBQQIMAKWFXDDK-UHFFFAOYSA-N,Cc1ncn2c(=O)[nH]ncc12,0.165016501650165
PGRHXDWITVMQBC-UHFFFAOYSA-N,CC(=O)C1C(=O)C=C(C)OC1=O,0.04579207920792079
CIKRUXXVSDQFHD-UHFFFAOYSA-N,O=C1C=C(C2CC=CCO2)C(O)O1,0.08333333333333333
HIZMOSZXHSNYFG-UHFFFAOYSA-N,CC1=C(CO)C(C)(C)CC(=O)C1O,0.09752475247524753
NBPIKJMMYBAHGS-UHFFFAOYSA-N,Cc1cc(C(=O)NCC(=O)O)c(C)o1,0.08580858085808582
OIDIRWZVUWCCCO-UHFFFAOYSA-N,CC[n+]1ccccc1,0.1056105610561056
HANLPTNWOHPPBT-UHFFFAOYSA-N,CC(C)C(CO)CC(=O)O,0.09028760018859028
VUERQRKTYBIULR-UHFFFAOYSA-N,CCO[PH](=O)O,0.07623762376237625
