"ChEMBL ID"	"Name"	"Synonyms"	"Type"	"Max Phase"	"Molecular Weight"	"Targets"	"Bioactivities"	"AlogP"	"Polar Surface Area"	"HBA"	"HBD"	"#RO5 Violations"	"#Rotatable Bonds"	"Passes Ro3"	"QED Weighted"	"CX Acidic pKa"	"CX Basic pKa"	"CX LogP"	"CX LogD"	"Aromatic Rings"	"Structure Type"	"Inorganic Flag"	"Heavy Atoms"	"HBA (Lipinski)"	"HBD (Lipinski)"	"#RO5 Violations (Lipinski)"	"Molecular Weight (Monoisotopic)"	"Np Likeness Score"	"Molecular Species"	"Molecular Formula"	"Smiles"	"Inchi Key"
"CHEMBL1964670"	""	""	"Small molecule"	""	"132.16"	"53"	"53"	"0.32"	"46.53"	"3"	"1"	"0"	"4"	"N"	"0.56"	"None"	"None"	"-0.01"	"-0.01"	"0"	"MOL"	"-1"	"9"	"3"	"1"	"0"	"132.0786"	"0.45"	"NEUTRAL"	"C6H12O3"	"CCOC(=O)CCCO"	"AYPJVXQBVHCUCJ-UHFFFAOYSA-N"
"CHEMBL3120732"	""	""	"Small molecule"	""	"198.27"	"2"	"3"	"0.57"	"58.20"	"2"	"2"	"0"	"2"	"Y"	"0.68"	"None"	"None"	"-0.68"	"-0.68"	"0"	"MOL"	"-1"	"14"	"4"	"2"	"0"	"198.1368"	"-0.39"	"NEUTRAL"	"C10H18N2O2"	"CC(=O)NC1CCC(NC(C)=O)CC1"	"TVILGUBKPIUIFC-UHFFFAOYSA-N"
"CHEMBL44100"	""	""	"Small molecule"	""	"179.18"	"5"	"5"	"0.72"	"80.36"	"3"	"3"	"0"	"1"	"N"	"0.44"	"None"	"10.21"	"0.57"	"-1.70"	"1"	"MOL"	"-1"	"13"	"5"	"4"	"0"	"179.0695"	"-0.51"	"BASE"	"C8H9N3O2"	"N=C(N)Nc1ccc2c(c1)OCO2"	"OZINHCFSCQEUPW-UHFFFAOYSA-N"
"CHEMBL111759"	""	"N-Prenyl Agmatine"	"Small molecule"	""	"198.31"	"3"	"11"	"0.81"	"73.93"	"2"	"4"	"0"	"6"	"N"	"0.22"	"None"	"12.69"	"0.46"	"-4.26"	"0"	"MOL"	"-1"	"14"	"4"	"5"	"0"	"198.1844"	"1.25"	"BASE"	"C10H22N4"	"CC(C)=CCNC(=N)NCCCCN"	"VACJHYSOFQSYAC-UHFFFAOYSA-N"
"CHEMBL1968584"	""	""	"Small molecule"	""	"140.14"	"56"	"56"	"0.75"	"54.37"	"3"	"1"	"0"	"0"	"Y"	"0.31"	"3.85"	"None"	"0.31"	"-2.93"	"0"	"MOL"	"-1"	"10"	"3"	"1"	"0"	"140.0473"	"0.47"	"ACID"	"C7H8O3"	"CC(O)=C1C(=O)CCC1=O"	"AJIYRXFNAHUXKP-UHFFFAOYSA-N"
"CHEMBL453247"	"MEPARFYNOL CARBAMATE"	"Meparfynol Carbamate"	"Small molecule"	""	"141.17"	"2"	"2"	"0.88"	"52.32"	"2"	"1"	"0"	"2"	"Y"	"0.58"	"None"	"None"	"1.04"	"1.04"	"0"	"MOL"	"-1"	"10"	"3"	"2"	"0"	"141.0790"	"0.23"	"NEUTRAL"	"C7H11NO2"	"C#CC(C)(CC)OC(N)=O"	"GXCDLJXPZVCHBX-UHFFFAOYSA-N"
"CHEMBL1562752"	""	""	"Small molecule"	""	"183.21"	"2"	"2"	"0.32"	"56.15"	"4"	"1"	"0"	"3"	"N"	"0.73"	"None"	"6.12"	"-0.05"	"-0.07"	"1"	"MOL"	"-1"	"13"	"5"	"1"	"0"	"183.1008"	"-1.43"	"NEUTRAL"	"C8H13N3O2"	"CNC(=O)OCCc1nccn1C"	"QMTDLLHNYSWGPX-UHFFFAOYSA-N"
"CHEMBL1708901"	""	""	"Small molecule"	""	"164.68"	"2"	"2"	"0.30"	"15.27"	"2"	"1"	"0"	"1"	"Y"	"0.55"	"None"	"9.52"	"0.43"	"-1.68"	"0"	"MOL"	"-1"	"9"	"2"	"1"	"0"	"128.1313"	"-1.09"	"BASE"	"C7H17ClN2"	"CC(C)N1CCNCC1.Cl"	"IIXYZCAKGHHSFJ-UHFFFAOYSA-N"
"CHEMBL535415"	""	"2-(Aminomethyl)Benzoic Acid Hydrochloride"	"Small molecule"	""	"187.63"	"1"	"2"	"0.84"	"63.32"	"2"	"2"	"0"	"2"	"N"	"0.66"	"3.49"	"9.23"	"-1.51"	"-1.51"	"1"	"MOL"	"-1"	"11"	"3"	"3"	"0"	"151.0633"	"-0.28"	"ZWITTERION"	"C8H10ClNO2"	"Cl.NCc1ccccc1C(=O)O"	"HWHUNDJAGYQZHL-UHFFFAOYSA-N"
"CHEMBL3207530"	""	""	"Small molecule"	""	"179.18"	"6"	"7"	"0.16"	"74.58"	"4"	"2"	"0"	"3"	"N"	"0.39"	"9.52"	"4.82"	"-0.20"	"-0.20"	"1"	"MOL"	"-1"	"13"	"5"	"2"	"0"	"179.0695"	"-1.61"	"NEUTRAL"	"C8H9N3O2"	"O=C(/C=N/O)NCc1cccnc1"	"HTIOSPKZUJJTTG-IZZDOVSWSA-N"
"CHEMBL2104213"	"DESMENINOL"	"DESMENINOL|METHIONINE HYDROXY ANALOG"	"Small molecule"	"-1.0"	"150.20"	"1"	"1"	"0.18"	"57.53"	"3"	"2"	"0"	"4"	"N"	"0.60"	"4.03"	"None"	"0.18"	"-2.96"	"0"	"MOL"	"0"	"9"	"3"	"2"	"0"	"150.0351"	"0.32"	"ACID"	"C5H10O3S"	"CSCCC(O)C(=O)O"	"ONFOSYPQQXJWGS-UHFFFAOYSA-N"
"CHEMBL1829208"	""	""	"Small molecule"	""	"181.15"	"1"	"1"	"0.72"	"90.39"	"3"	"3"	"0"	"3"	"N"	"0.36"	"2.51"	"None"	"0.19"	"-3.32"	"1"	"MOL"	"-1"	"13"	"5"	"3"	"0"	"181.0375"	"0.22"	"ACID"	"C8H7NO4"	"O=C(O)/C(O)=C/C(=O)c1ccc[nH]1"	"SRZFLYCSHDUILN-DAXSKMNVSA-N"
"CHEMBL3182150"	""	""	"Small molecule"	""	"114.10"	"1"	"1"	"0.38"	"46.53"	"3"	"1"	"0"	"0"	"Y"	"0.49"	"6.54"	"None"	"-0.36"	"-0.98"	"0"	"MOL"	"-1"	"8"	"3"	"1"	"0"	"114.0317"	"1.13"	"NEUTRAL"	"C5H6O3"	"CC1=C(O)C(=O)CO1"	"DLVYTANECMRFGX-UHFFFAOYSA-N"
"CHEMBL504482"	""	""	"Small molecule"	""	"161.14"	"3"	"4"	"0.89"	"63.32"	"2"	"2"	"0"	"1"	"N"	"0.56"	"3.61"	"10.37"	"-2.39"	"-2.39"	"0"	"MOL"	"-1"	"10"	"3"	"3"	"0"	"161.0606"	"0.80"	"ZWITTERION"	"C6H12NO2P"	"CP(=O)(O)C1=CCC(N)C1"	"COSQDVKDGWGBPW-UHFFFAOYSA-N"
"CHEMBL1579633"	""	""	"Small molecule"	""	"190.21"	"4"	"4"	"0.94"	"60.15"	"5"	"0"	"0"	"1"	"N"	"0.63"	"None"	"0.57"	"0.53"	"0.53"	"2"	"MOL"	"-1"	"14"	"5"	"0"	"0"	"190.0855"	"-2.18"	"NEUTRAL"	"C9H10N4O"	"CC(=O)c1cnc2nc(C)nn2c1C"	"WWUXRAWFAFPGPY-UHFFFAOYSA-N"
"CHEMBL3352965"	""	""	"Small molecule"	""	"121.57"	"2"	"2"	"0.36"	"29.10"	"1"	"1"	"0"	"1"	"Y"	"0.50"	"None"	"None"	"0.30"	"0.30"	"0"	"MOL"	"-1"	"7"	"2"	"1"	"0"	"121.0294"	"-0.59"	"NEUTRAL"	"C4H8ClNO"	"CNC(=O)C(C)Cl"	"NKUQJMNRULPRAM-UHFFFAOYSA-N"
"CHEMBL1213808"	""	"Tetrahydropyranyl-O-Hydroxylamine"	"Small molecule"	""	"117.15"	"1"	"1"	"0.40"	"44.48"	"3"	"1"	"0"	"1"	"Y"	"0.51"	"None"	"4.23"	"0.54"	"0.54"	"0"	"MOL"	"-1"	"8"	"3"	"2"	"0"	"117.0790"	"0.33"	"NEUTRAL"	"C5H11NO2"	"NOC1CCCCO1"	"NLXXVSKHVGDQAT-UHFFFAOYSA-N"
"CHEMBL1623245"	""	""	"Small molecule"	""	"177.23"	""	""	"0.48"	"34.81"	"3"	"0"	"0"	"0"	"Y"	"0.55"	"None"	"None"	"-3.01"	"-3.01"	"2"	"MOL"	"-1"	"13"	"4"	"0"	"0"	"177.1135"	"-0.59"	"NEUTRAL"	"C9H13N4+"	"Cc1cc(C)[n+]2nc(C)n(C)c2n1"	"YBSZXIUKDXSGSC-UHFFFAOYSA-N"
"CHEMBL1236302"	""	""	"Small molecule"	""	"171.22"	"1"	"1"	"0.70"	"63.32"	"3"	"2"	"0"	"3"	"N"	"0.70"	"2.60"	"9.27"	"-1.27"	"-1.28"	"1"	"MOL"	"-1"	"11"	"3"	"3"	"0"	"171.0354"	"-0.99"	"ZWITTERION"	"C7H9NO2S"	"N[C@@H](Cc1cccs1)C(=O)O"	"WTOFYLAWDLQMBZ-LURJTMIESA-N"
"CHEMBL501393"	""	"2,6-Dihydroxybenzamide"	"Small molecule"	""	"153.14"	"1"	"1"	"0.20"	"83.55"	"3"	"3"	"0"	"1"	"N"	"0.54"	"8.06"	"None"	"1.52"	"1.43"	"1"	"MOL"	"-1"	"11"	"4"	"4"	"0"	"153.0426"	"-0.03"	"NEUTRAL"	"C7H7NO3"	"NC(=O)c1c(O)cccc1O"	"WFIWHFWPQQSJDD-UHFFFAOYSA-N"
"CHEMBL3646236"	""	""	"Small molecule"	""	"144.22"	"1"	"1"	"0.11"	"55.12"	"2"	"2"	"0"	"3"	"Y"	"0.59"	"None"	"8.39"	"0.08"	"-0.94"	"0"	"MOL"	"-1"	"10"	"3"	"3"	"0"	"144.1263"	"-0.64"	"NEUTRAL"	"C7H16N2O"	"CC(C)CNC(=O)C(C)N"	"DOHLDWQZEPRKEW-UHFFFAOYSA-N"
"CHEMBL232882"	""	""	"Small molecule"	""	"136.58"	"2"	"2"	"0.64"	"21.76"	"2"	"0"	"0"	"4"	"N"	"0.32"	"None"	"None"	"0.63"	"0.63"	"0"	"MOL"	"-1"	"8"	"2"	"0"	"0"	"136.0291"	"-0.13"	"NEUTRAL"	"C5H9ClO2"	"ClCCOC[C@@H]1CO1"	"SLHJJBZBHQIKBB-RXMQYKEDSA-N"
"CHEMBL1620720"	""	""	"Small molecule"	""	"133.15"	""	""	"0.62"	"56.14"	"4"	"1"	"0"	"4"	"N"	"0.45"	"12.97"	"1.68"	"0.17"	"0.17"	"0"	"MOL"	"-1"	"9"	"5"	"1"	"0"	"133.0851"	"0.04"	"NEUTRAL"	"C4H11N3O2"	"CCN(CC)N(O)N=O"	"GYEBVHSGJPHJRP-UHFFFAOYSA-N"
"CHEMBL568766"	""	"Indolin-2-Ol"	"Small molecule"	""	"135.17"	"1"	"1"	"0.97"	"32.26"	"2"	"2"	"0"	"0"	"Y"	"0.56"	"13.45"	"0.84"	"0.89"	"0.89"	"1"	"MOL"	"-1"	"10"	"2"	"2"	"0"	"135.0684"	"0.47"	"NEUTRAL"	"C8H9NO"	"OC1Cc2ccccc2N1"	"GWXABUXUVQEBBW-UHFFFAOYSA-N"
"CHEMBL3984047"	""	""	"Small molecule"	""	"182.20"	"4"	"4"	"0.64"	"58.53"	"3"	"1"	"0"	"0"	"Y"	"0.64"	"7.38"	"0.13"	"0.48"	"0.22"	"1"	"MOL"	"-1"	"12"	"4"	"1"	"0"	"182.0150"	"-0.78"	"NEUTRAL"	"C7H6N2O2S"	"O=S1(=O)NC=Nc2ccccc21"	"BBNGVMNBBLPZIR-UHFFFAOYSA-N"
"CHEMBL1899442"	""	""	"Small molecule"	""	"156.18"	"2"	"2"	"0.92"	"43.37"	"3"	"0"	"0"	"2"	"Y"	"0.56"	"None"	"None"	"0.77"	"0.77"	"0"	"MOL"	"-1"	"11"	"3"	"0"	"0"	"156.0786"	"0.77"	"NEUTRAL"	"C8H12O3"	"CCOC(=O)C1CCC(=O)C1"	"VGJWAMLZUUGEQY-UHFFFAOYSA-N"
"CHEMBL1607554"	""	""	"Small molecule"	""	"191.22"	"4"	"4"	"0.72"	"66.87"	"6"	"0"	"0"	"1"	"N"	"0.62"	"None"	"None"	"1.38"	"1.38"	"2"	"MOL"	"-1"	"13"	"5"	"0"	"0"	"191.0266"	"-2.94"	"NEUTRAL"	"C7H5N5S"	"CSc1nc2ncc(C#N)cn2n1"	"HQGOUBGGDDUGKW-UHFFFAOYSA-N"
"CHEMBL1232141"	""	""	"Small molecule"	""	"117.19"	"4"	"7"	"0.35"	"46.25"	"2"	"2"	"0"	"3"	"Y"	"0.56"	"None"	"9.83"	"0.36"	"-1.98"	"0"	"MOL"	"-1"	"8"	"2"	"3"	"0"	"117.1154"	"1.02"	"BASE"	"C6H15NO"	"CC(C)C[C@H](N)CO"	"VPSSPAXIFBTOHY-LURJTMIESA-N"
"CHEMBL3278815"	""	""	"Small molecule"	""	"159.18"	"1"	"1"	"0.07"	"55.40"	"3"	"1"	"0"	"3"	"Y"	"0.59"	"12.62"	"None"	"-0.26"	"-0.26"	"0"	"MOL"	"-1"	"11"	"4"	"1"	"0"	"159.0895"	"-0.71"	"NEUTRAL"	"C7H13NO3"	"CCOC(=O)[C@H](C)NC(C)=O"	"BFNYDDPQMKYKKJ-YFKPBYRVSA-N"
"CHEMBL178016"	""	""	"Small molecule"	""	"172.18"	"2"	"2"	"0.65"	"71.44"	"3"	"1"	"0"	"3"	"N"	"0.50"	"3.31"	"None"	"2.09"	"-1.36"	"0"	"MOL"	"-1"	"12"	"4"	"1"	"0"	"172.0736"	"0.34"	"ACID"	"C8H12O4"	"CC(C)(C)C(=O)CC(=O)C(=O)O"	"YTSZIESHCFAFLD-UHFFFAOYSA-N"
"CHEMBL164396"	""	"2-[Butyl(Nitroso)Amino]Ethanol"	"Small molecule"	""	"146.19"	"1"	"1"	"0.76"	"52.90"	"3"	"1"	"0"	"6"	"N"	"0.44"	"None"	"3.22"	"0.67"	"0.67"	"0"	"MOL"	"-1"	"10"	"4"	"1"	"0"	"146.1055"	"-0.33"	"NEUTRAL"	"C6H14N2O2"	"CCCCN(CCO)N=O"	"BQGYHQOWXOZWOJ-UHFFFAOYSA-N"
"CHEMBL353521"	""	""	"Small molecule"	""	"190.25"	"1"	"1"	"0.46"	"32.34"	"3"	"1"	"0"	"1"	"Y"	"0.70"	"None"	"8.83"	"0.73"	"-0.71"	"1"	"MOL"	"-1"	"14"	"3"	"1"	"0"	"190.1106"	"-0.55"	"BASE"	"C11H14N2O"	"O=c1cccccc1N1CCNCC1"	"JJCBLOHTHPMUNB-UHFFFAOYSA-N"
"CHEMBL1668623"	""	""	"Small molecule"	""	"197.66"	"5"	"9"	"0.68"	"43.09"	"2"	"1"	"0"	"0"	"Y"	"0.61"	"None"	"7.67"	"1.27"	"0.81"	"1"	"MOL"	"-1"	"12"	"2"	"2"	"0"	"161.0841"	"0.50"	"NEUTRAL"	"C10H12ClNO"	"Cl.NC1Cc2ccccc2CC1=O"	"NPDBUWUEHWAHRS-UHFFFAOYSA-N"
"CHEMBL31629"	""	""	"Small molecule"	""	"101.11"	"1"	"1"	"0.00"	"40.54"	"2"	"1"	"0"	"0"	"Y"	"0.44"	"8.38"	"None"	"-0.58"	"-0.63"	"0"	"MOL"	"-1"	"7"	"3"	"1"	"0"	"101.0477"	"0.99"	"NEUTRAL"	"C4H7NO2"	"O=C1CCCN1O"	"JQBCKRZQAMELAD-UHFFFAOYSA-N"
"CHEMBL8162"	""	""	"Small molecule"	""	"182.18"	"1"	"2"	"0.59"	"74.60"	"2"	"2"	"0"	"2"	"N"	"0.61"	"3.74"	"None"	"0.42"	"-4.48"	"0"	"MOL"	"-1"	"13"	"4"	"2"	"0"	"182.0579"	"0.29"	"ACID"	"C9H10O4"	"O=C(O)C1C2C=CC(C2)C1C(=O)O"	"NIDNOXCRFUCAKQ-UHFFFAOYSA-N"
"CHEMBL1402765"	""	"(R)-4-(Amino(Carboxy)Methyl)Benzoic Acid"	"Small molecule"	""	"195.17"	"12"	"18"	"0.47"	"100.62"	"3"	"3"	"0"	"3"	"N"	"0.65"	"1.38"	"8.66"	"-1.87"	"-5.05"	"1"	"MOL"	"-1"	"14"	"5"	"4"	"0"	"195.0532"	"0.14"	"ZWITTERION"	"C9H9NO4"	"N[C@@H](C(=O)O)c1ccc(C(=O)O)cc1"	"VTMJKPGFERYGJF-SSDOTTSWSA-N"
"CHEMBL3187796"	""	""	"Small molecule"	""	"151.17"	""	""	"0.23"	"46.17"	"2"	"1"	"0"	"0"	"Y"	"0.40"	"10.42"	"None"	"0.16"	"0.16"	"0"	"MOL"	"-1"	"11"	"3"	"1"	"0"	"151.0633"	"0.41"	"NEUTRAL"	"C8H9NO2"	"O=C1NC(=O)C2CC=CCC12"	"CIFFBTOJCKSRJY-UHFFFAOYSA-N"
"CHEMBL4168511"	""	""	"Small molecule"	""	"175.24"	"1"	"1"	"0.63"	"28.16"	"3"	"1"	"0"	"1"	"Y"	"0.68"	"None"	"9.67"	"0.34"	"-1.90"	"1"	"MOL"	"-1"	"13"	"3"	"1"	"0"	"175.1109"	"-0.74"	"BASE"	"C10H13N3"	"c1cncc(N2C[C@H]3C[C@@H]2CN3)c1"	"ZGHKBXCWIZHPBZ-PSASIEDQSA-N"
"CHEMBL24210"	""	""	"Small molecule"	""	"187.22"	"5"	"8"	"0.58"	"69.39"	"3"	"1"	"0"	"2"	"N"	"0.74"	"10.85"	"None"	"1.13"	"1.13"	"1"	"MOL"	"-1"	"12"	"4"	"2"	"0"	"187.0303"	"-0.82"	"NEUTRAL"	"C7H9NO3S"	"Cc1ccc(OS(N)(=O)=O)cc1"	"JGUNVLAWEAPEAA-UHFFFAOYSA-N"
"CHEMBL1698742"	""	""	"Small molecule"	""	"172.21"	"6"	"6"	"0.82"	"65.21"	"5"	"1"	"0"	"1"	"N"	"0.64"	"None"	"2.97"	"1.32"	"1.32"	"1"	"MOL"	"-1"	"11"	"4"	"2"	"0"	"172.0306"	"-1.17"	"NEUTRAL"	"C6H8N2O2S"	"COC(=O)c1nc(N)sc1C"	"ZPFCEYUYBJVUED-UHFFFAOYSA-N"
"CHEMBL268713"	""	""	"Small molecule"	""	"164.21"	"2"	"3"	"0.04"	"69.11"	"2"	"2"	"0"	"3"	"N"	"0.66"	"None"	"8.02"	"0.27"	"-0.44"	"1"	"MOL"	"-1"	"12"	"3"	"4"	"0"	"164.0950"	"0.03"	"NEUTRAL"	"C9H12N2O"	"NC(=O)C(N)Cc1ccccc1"	"OBSIQMZKFXFYLV-UHFFFAOYSA-N"
"CHEMBL175223"	""	""	"Small molecule"	""	"179.22"	"1"	"1"	"0.52"	"70.64"	"2"	"3"	"0"	"3"	"N"	"0.27"	"13.61"	"7.70"	"1.05"	"0.58"	"1"	"MOL"	"-1"	"13"	"4"	"4"	"0"	"179.1059"	"-0.37"	"NEUTRAL"	"C9H13N3O"	"N/C(=N\O)NCCc1ccccc1"	"FEKOVKCPDOVNRE-UHFFFAOYSA-N"
"CHEMBL298597"	""	""	"Small molecule"	""	"166.18"	"6"	"12"	"0.34"	"84.06"	"5"	"3"	"0"	"2"	"N"	"0.59"	"12.58"	"3.26"	"0.72"	"0.72"	"1"	"MOL"	"-1"	"12"	"5"	"4"	"0"	"166.0855"	"-1.27"	"NEUTRAL"	"C7H10N4O"	"Nc1nc(O)cc(NC2CC2)n1"	"MINGBVZEDKVJRJ-UHFFFAOYSA-N"
